Profundidad;Valor;Tipo;Pozo
5085;3;RT3_POR;LLANITO-121
5085;3;RT3_POR;LLANITO-121
5086;3;RT3_POR;LLANITO-121
5086;3;RT3_POR;LLANITO-121
5087;3;RT3_POR;LLANITO-121
5087;3;RT3_POR;LLANITO-121
5088;3;RT3_POR;LLANITO-121
5088;3;RT3_POR;LLANITO-121
5089;3;RT3_POR;LLANITO-121
5089;2;RT3_POR;LLANITO-121
5090;2;RT3_POR;LLANITO-121
5090;1;RT3_POR;LLANITO-121
5091;1;RT3_POR;LLANITO-121
5091;1;RT3_POR;LLANITO-121
5092;1;RT3_POR;LLANITO-121
5092;1;RT3_POR;LLANITO-121
5093;1;RT3_POR;LLANITO-121
5093;1;RT3_POR;LLANITO-121
5094;1;RT3_POR;LLANITO-121
5094;1;RT3_POR;LLANITO-121
5095;1;RT3_POR;LLANITO-121
5095;1;RT3_POR;LLANITO-121
5096;1;RT3_POR;LLANITO-121
5096;1;RT3_POR;LLANITO-121
5097;1;RT3_POR;LLANITO-121
5097;1;RT3_POR;LLANITO-121
5098;1;RT3_POR;LLANITO-121
5098;1;RT3_POR;LLANITO-121
5099;2;RT3_POR;LLANITO-121
5099;2;RT3_POR;LLANITO-121
5100;2;RT3_POR;LLANITO-121
5100;2;RT3_POR;LLANITO-121
5101;3;RT3_POR;LLANITO-121
5101;3;RT3_POR;LLANITO-121
5102;3;RT3_POR;LLANITO-121
5102;3;RT3_POR;LLANITO-121
5103;3;RT3_POR;LLANITO-121
5103;3;RT3_POR;LLANITO-121
5104;3;RT3_POR;LLANITO-121
5104;3;RT3_POR;LLANITO-121
5105;3;RT3_POR;LLANITO-121
5105;3;RT3_POR;LLANITO-121
5106;3;RT3_POR;LLANITO-121
5106;2;RT3_POR;LLANITO-121
5107;2;RT3_POR;LLANITO-121
5107;2;RT3_POR;LLANITO-121
5108;1;RT3_POR;LLANITO-121
5108;1;RT3_POR;LLANITO-121
5109;1;RT3_POR;LLANITO-121
5109;1;RT3_POR;LLANITO-121
5110;1;RT3_POR;LLANITO-121
5110;1;RT3_POR;LLANITO-121
5111;1;RT3_POR;LLANITO-121
5111;2;RT3_POR;LLANITO-121
5112;2;RT3_POR;LLANITO-121
5112;1;RT3_POR;LLANITO-121
5113;1;RT3_POR;LLANITO-121
5113;1;RT3_POR;LLANITO-121
5114;1;RT3_POR;LLANITO-121
5114;1;RT3_POR;LLANITO-121
5115;1;RT3_POR;LLANITO-121
5115;1;RT3_POR;LLANITO-121
5116;2;RT3_POR;LLANITO-121
5116;3;RT3_POR;LLANITO-121
5117;2;RT3_POR;LLANITO-121
5117;2;RT3_POR;LLANITO-121
5118;2;RT3_POR;LLANITO-121
5118;2;RT3_POR;LLANITO-121
5119;2;RT3_POR;LLANITO-121
5119;3;RT3_POR;LLANITO-121
5120;3;RT3_POR;LLANITO-121
5120;3;RT3_POR;LLANITO-121
5121;3;RT3_POR;LLANITO-121
5121;3;RT3_POR;LLANITO-121
5122;3;RT3_POR;LLANITO-121
5122;3;RT3_POR;LLANITO-121
5123;3;RT3_POR;LLANITO-121
5123;3;RT3_POR;LLANITO-121
5124;3;RT3_POR;LLANITO-121
5124;3;RT3_POR;LLANITO-121
5125;3;RT3_POR;LLANITO-121
5125;3;RT3_POR;LLANITO-121
5126;3;RT3_POR;LLANITO-121
5126;3;RT3_POR;LLANITO-121
5127;3;RT3_POR;LLANITO-121
5127;2;RT3_POR;LLANITO-121
5128;2;RT3_POR;LLANITO-121
5128;2;RT3_POR;LLANITO-121
5129;2;RT3_POR;LLANITO-121
5129;2;RT3_POR;LLANITO-121
5130;2;RT3_POR;LLANITO-121
5130;2;RT3_POR;LLANITO-121
5131;2;RT3_POR;LLANITO-121
5131;2;RT3_POR;LLANITO-121
5132;3;RT3_POR;LLANITO-121
5132;3;RT3_POR;LLANITO-121
5133;3;RT3_POR;LLANITO-121
5133;3;RT3_POR;LLANITO-121
5134;3;RT3_POR;LLANITO-121
5134;3;RT3_POR;LLANITO-121
5135;3;RT3_POR;LLANITO-121
5135;3;RT3_POR;LLANITO-121
5136;3;RT3_POR;LLANITO-121
5136;3;RT3_POR;LLANITO-121
5137;3;RT3_POR;LLANITO-121
5137;3;RT3_POR;LLANITO-121
5138;3;RT3_POR;LLANITO-121
5138;3;RT3_POR;LLANITO-121
5139;3;RT3_POR;LLANITO-121
5139;3;RT3_POR;LLANITO-121
5140;3;RT3_POR;LLANITO-121
5140;3;RT3_POR;LLANITO-121
5141;3;RT3_POR;LLANITO-121
5141;3;RT3_POR;LLANITO-121
5142;3;RT3_POR;LLANITO-121
5142;3;RT3_POR;LLANITO-121
5143;3;RT3_POR;LLANITO-121
5143;3;RT3_POR;LLANITO-121
5144;3;RT3_POR;LLANITO-121
5144;3;RT3_POR;LLANITO-121
5145;3;RT3_POR;LLANITO-121
5145;3;RT3_POR;LLANITO-121
