Depth;Value;Metodo
301.5;-0.004108264;BPF
302.0;-0.0039799255;BPF
302.5;-0.0038399138;BPF
303.0;-0.003687958;BPF
303.5;-0.0035245514;BPF
304.0;-0.0033505512;BPF
304.5;-0.0031654919;BPF
305.0;-0.0029703064;BPF
305.5;-0.0027657975;BPF
306.0;-0.0025515931;BPF
306.5;-0.002328805;BPF
307.0;-0.002097973;BPF
307.5;-0.0018593412;BPF
308.0;-0.0016139323;BPF
308.5;-0.001362048;BPF
309.0;-0.0011043467;BPF
309.5;-8.41795E-4;BPF
310.0;-5.746408E-4;BPF
310.5;-3.0387208E-4;BPF
311.0;-3.0320976E-5;BPF
311.5;2.4564465E-4;BPF
312.0;5.230848E-4;BPF
312.5;8.0121704E-4;BPF
313.0;0.0010792534;BPF
313.5;0.0013566242;BPF
314.0;0.0016323986;BPF
314.5;0.0019057964;BPF
315.0;0.0021761872;BPF
315.5;0.002442649;BPF
316.0;0.002704262;BPF
316.5;0.0029607597;BPF
317.0;0.0032109572;BPF
317.5;0.0034541637;BPF
318.0;0.0036901487;BPF
318.5;0.003917457;BPF
319.0;0.0041359;BPF
319.5;0.0043450636;BPF
320.0;0.004543154;BPF
320.5;0.00473093;BPF
321.0;0.0049072867;BPF
321.5;0.0050709783;BPF
322.0;0.0052225916;BPF
322.5;0.005360993;BPF
323.0;0.005485543;BPF
323.5;0.005596515;BPF
324.0;0.0056927167;BPF
324.5;0.0057741846;BPF
325.0;0.0058408384;BPF
325.5;0.005891637;BPF
326.0;0.0059270556;BPF
326.5;0.0059468793;BPF
327.0;0.0059499573;BPF
327.5;0.00593749;BPF
328.0;0.0059087966;BPF
328.5;0.0058633015;BPF
329.0;0.0058021536;BPF
329.5;0.0057246382;BPF
330.0;0.0056308242;BPF
330.5;0.0055215396;BPF
331.0;0.0053961743;BPF
331.5;0.0052553695;BPF
332.0;0.0050995625;BPF
332.5;0.0049285498;BPF
333.0;0.004743286;BPF
333.5;0.0045438907;BPF
334.0;0.0043306015;BPF
334.5;0.004104536;BPF
335.0;0.0038656204;BPF
335.5;0.0036144904;BPF
336.0;0.003352308;BPF
336.5;0.0030790654;BPF
337.0;0.0027957326;BPF
337.5;0.0025031455;BPF
338.0;0.0022017304;BPF
338.5;0.0018925618;BPF
339.0;0.001576271;BPF
339.5;0.0012600467;BPF
340.0;9.61596E-4;BPF
340.5;6.69925E-4;BPF
341.0;3.7529465E-4;BPF
341.5;7.8356505E-5;BPF
342.0;-2.2043314E-4;BPF
342.5;-5.2028545E-4;BPF
343.0;-8.2063145E-4;BPF
343.5;-0.0011208705;BPF
344.0;-0.0014203045;BPF
344.5;-0.001718363;BPF
345.0;-0.002014269;BPF
345.5;-0.0023075615;BPF
346.0;-0.0025975164;BPF
346.5;-0.0028833621;BPF
347.0;-0.003164803;BPF
347.5;-0.0034406949;BPF
348.0;-0.0037111917;BPF
348.5;-0.0039745984;BPF
349.0;-0.0042313784;BPF
349.5;-0.004480281;BPF
350.0;-0.0047211037;BPF
350.5;-0.004953146;BPF
