wellName,datasetName,TDEP,AvgCali,Azimuth,Dip_RV2025_TRU,HDev,Type
,,ft,in,dega,dega,rad,
CARDALES_1N,Dip_RV2025,5597.88104122828,8.40451049804688,278.102386474609,10.2248344421387,0.289406985044479,Cross bedding
CARDALES_1N,Dip_RV2025,5598.15316443327,8.40451049804688,278.077697753906,10.2186250686646,0.289531707763672,Cross bedding
CARDALES_1N,Dip_RV2025,5598.46416238183,8.40469455718994,278.046691894531,10.2097721099854,0.289705991744995,Cross bedding
CARDALES_1N,Dip_RV2025,5598.79459770217,8.43186664581299,265.157348632813,10.7111730575562,0.289931058883667,Cross bedding
CARDALES_1N,Dip_RV2025,5599.18334513786,8.46428871154785,275.912719726563,10.1053800582886,0.290213704109192,Cross bedding
CARDALES_1N,Dip_RV2025,5599.37771885571,8.48105144500732,277.751983642578,9.99715232849121,0.290354520082474,Cross bedding
CARDALES_1N,Dip_RV2025,5600.01915212461,8.50840759277344,238.946197509766,12.987624168396,0.290768384933472,Cross bedding
CARDALES_1N,Dip_RV2025,5600.49152839646,8.50640106201172,205.130279541016,16.4461517333984,0.291045159101486,Bedding
CARDALES_1N,Dip_RV2025,5601.10764494455,8.50085258483887,248.732437133789,14.342960357666,0.291154086589813,Cross bedding
CARDALES_1N,Dip_RV2025,5601.45751763668,8.50463008880615,243.53630065918,14.9765863418579,0.291079491376877,Cross bedding
CARDALES_1N,Dip_RV2025,5601.78795295702,8.49519538879395,243.630416870117,15.0123872756958,0.290776014328003,Cross bedding
CARDALES_1N,Dip_RV2025,5602.23501250807,8.5073938369751,262.871765136719,10.6315450668335,0.290376782417297,Bedding
CARDALES_1N,Dip_RV2025,5602.66263468733,8.50840759277344,248.848602294922,14.3692302703857,0.289979606866837,Cross bedding
CARDALES_1N,Dip_RV2025,5603.12913161016,8.52086925506592,248.902282714844,14.3741655349731,0.289480537176132,Cross bedding
CARDALES_1N,Dip_RV2025,5603.77056487906,8.55695819854736,246.199722290039,14.6102046966553,0.288767784833908,Cross bedding
CARDALES_1N,Dip_RV2025,5604.41199814796,8.5603551864624,247.633255004883,14.4772415161133,0.288040518760681,Cross bedding
CARDALES_1N,Dip_RV2025,5605.17005564756,8.5603551864624,227.320846557617,4.85291290283203,0.287251561880112,Bedding
CARDALES_1N,Dip_RV2025,5605.7531768011,8.5603551864624,258.432495117188,5.83024311065674,0.286692380905151,Cross bedding
CARDALES_1N,Dip_RV2025,5606.25854846751,8.5603551864624,229.278823852539,8.50604152679443,0.286194294691086,Cross bedding
CARDALES_1N,Dip_RV2025,5606.6472959032,8.5603551864624,228.105422973633,8.70509052276611,0.285796076059341,Cross bedding
CARDALES_1N,Dip_RV2025,5607.0360433389,8.5603551864624,228.273696899414,8.70821380615234,0.285369604825974,Cross bedding
CARDALES_1N,Dip_RV2025,5607.47458518939,8.5603551864624,225.598205566406,21.8946323394775,0.284926176071167,Bedding
CARDALES_1N,Dip_RV2025,5608.1828482742,8.55320072174072,292.158386230469,14.3482942581177,0.284347236156464,Cross bedding
CARDALES_1N,Dip_RV2025,5608.66878256882,8.54741477966309,295.317291259766,14.4030246734619,0.283820956945419,Cross bedding
CARDALES_1N,Dip_RV2025,5609.25190372236,8.54042434692383,292.238006591797,14.4609479904175,0.283098757266998,Cross bedding
CARDALES_1N,Dip_RV2025,5610.06827333732,8.52139377593994,286.105712890625,14.6241865158081,0.282303839921951,Cross bedding
CARDALES_1N,Dip_RV2025,5610.55420763194,8.52603244781494,284.583129882813,14.6487884521484,0.282004088163376,Cross bedding
CARDALES_1N,Dip_RV2025,5610.94295506763,8.52563190460205,284.610198974609,14.6830902099609,0.281679928302765,Cross bedding
CARDALES_1N,Dip_RV2025,5611.44832673403,8.52427768707275,284.642028808594,14.7140560150146,0.28111207485199,Cross bedding
CARDALES_1N,Dip_RV2025,5612.14807211828,8.52788734436035,275.679290771484,15.0444650650024,0.28002804517746,Cross bedding
CARDALES_1N,Dip_RV2025,5612.7700680154,8.56352424621582,267.044921875,15.5047254562378,0.279019832611084,Cross bedding
CARDALES_1N,Dip_RV2025,5613.19769019466,8.61286926269531,244.762786865234,9.95657634735107,0.278545439243317,Cross bedding
CARDALES_1N,Dip_RV2025,5613.92971329007,8.72834777832031,237.659164428711,6.03005361557007,0.278143048286438,Bedding
CARDALES_1N,Dip_RV2025,5617.869140625,8.85629844665527,256.381317138672,13.5577659606934,0.28024497628212,Bedding
CARDALES_1N,Dip_RV2025,5619.20383807616,8.50840759277344,243.334121704102,10.2765417098999,0.280672520399094,Bedding
CARDALES_1N,Dip_RV2025,5619.78025338886,8.50840759277344,165.689697265625,30.5979900360107,0.280810981988907,Cross bedding
CARDALES_1N,Dip_RV2025,5620.39427995443,8.50840759277344,170.719482421875,28.9324417114258,0.280862241983414,Cross bedding
CARDALES_1N,Dip_RV2025,5620.88235235271,8.50840759277344,172.456512451172,28.3455276489258,0.280548870563507,Cross bedding
CARDALES_1N,Dip_RV2025,5621.35468048007,8.50840759277344,175.530731201172,27.2965145111084,0.280094563961029,Cross bedding
CARDALES_1N,Dip_RV2025,5622.03173828125,8.50840759277344,192.904098510742,16.4970016479492,0.279673546552658,Bedding
CARDALES_1N,Dip_RV2025,5622.45677944392,8.55064296722412,250.982070922852,11.6903839111328,0.27945539355278,Cross bedding
CARDALES_1N,Dip_RV2025,5622.86613048764,8.65535449981689,235.063278198242,10.9747018814087,0.279201656579971,Cross bedding
CARDALES_1N,Dip_RV2025,5623.29122580227,8.72884750366211,237.906494140625,10.4410924911499,0.279004484415054,Cross bedding
