POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-7;-24.66;24.66;VSH;IP_SH60;-0.195;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-7;-24.66;24.66;GR;VPVS_SH60;-0.46;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-7;-24.66;24.66;VSH;VPVS_SH60;-0.532;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;GR;IP_SH60;0.759;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;GR;VPVS_SH60;0.4;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;PERM;IP_SH60;-0.714;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;PERM;VPVS_SH60;-0.347;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;POR;IP_SH60;-0.784;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;POR;VPVS_SH60;-0.417;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;VSH;IP_SH60;0.783;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-60;-25.45;25.45;VSH;VPVS_SH60;0.783;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-122;-26.37;26.37;GR;IP_SH60;0.21;MTOMC - MTEE;POSITIVO;CONSISTENTE;INVERSION
LLANITO-122;-26.37;26.37;GR;VPVS_SH60;-0.125;MTOMC - MTEE;POSITIVO;INCONSISTENTE;INVERSION
LLANITO-122;-26.37;26.37;PERM;IP_SH60;-0.19;MTOMC - MTEE;NEGATIVO;CONSISTENTE;INVERSION
LLANITO-122;-26.37;26.37;PERM;VPVS_SH60;0.092;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;INVERSION
LLANITO-122;-26.37;26.37;POR;IP_SH60;-0.251;MTOMC - MTEE;NEGATIVO;CONSISTENTE;INVERSION
LLANITO-122;-26.37;26.37;POR;VPVS_SH60;0.104;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;INVERSION
LLANITO-122;-26.37;26.37;VSH;IP_SH60;0.188;MTOMC - MTEE;POSITIVO;CONSISTENTE;INVERSION
LLANITO-122;-26.37;26.37;VSH;VPVS_SH60;-0.112;MTOMC - MTEE;POSITIVO;INCONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;GR;IP_SH60;0.386;MTOMC - MTEE;POSITIVO;CONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;GR;VPVS_SH60;0.347;MTOMC - MTEE;POSITIVO;CONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;PERM;IP_SH60;-0.242;MTOMC - MTEE;NEGATIVO;CONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;PERM;VPVS_SH60;-0.072;MTOMC - MTEE;NEGATIVO;CONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;POR;IP_SH60;-0.455;MTOMC - MTEE;NEGATIVO;CONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;POR;VPVS_SH60;-0.356;MTOMC - MTEE;NEGATIVO;CONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;VSH;IP_SH60;0.437;MTOMC - MTEE;POSITIVO;CONSISTENTE;INVERSION
LLANITO-124;-26.59;26.59;VSH;VPVS_SH60;0.402;MTOMC - MTEE;POSITIVO;CONSISTENTE;INVERSION
LLANITO-12;27.84;27.84;GR;IP_SH60;0.122;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-12;27.84;27.84;GR;VPVS_SH60;0.366;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-12;27.84;27.84;PERM;IP_SH60;-0.157;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-12;27.84;27.84;PERM;VPVS_SH60;-0.276;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-12;27.84;27.84;POR;IP_SH60;-0.2;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-12;27.84;27.84;POR;VPVS_SH60;-0.373;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-12;27.84;27.84;VSH;IP_SH60;0.203;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-12;27.84;27.84;VSH;VPVS_SH60;0.377;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
CARDALES-5;28.35;28.35;GR;IP_SH60;0.13;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
CARDALES-5;28.35;28.35;GR;VPVS_SH60;-0.148;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
